,design,predictor,sample_type,sample_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_size_err,median_precision,median_recall,median_fscore,median_size_err
54,spi,DATE,solver,0.4,1000000000000.0,,,0.9387756115031824,0.5805049610798085,0.6944601684122149,0.3915274236237897,1.0,0.4610730133118193,0.6306042884990254,0.5389269866881807
55,spi,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.9540578952953082,0.8549714322427675,0.8932974768297389,0.14839597614411398,0.9921832061068704,0.8921768707482993,0.9163734815908728,0.10059631838216228
56,aemb,DATE,random,0.5,1000000000000.0,,,0.8495162932064754,0.7932444133901622,0.8018913514340301,0.27905353896890434,0.9056603773584906,0.7759999999999999,0.8065843621399177,0.2
57,aemb,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.7550250360611807,0.9211745578504424,0.8110991269417573,0.6356654383924701,0.8108108108108109,0.953125,0.8888888888888891,0.1827956989247312
58,aemb,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.7662406487737424,0.9277157255860028,0.8160920488578853,0.6174599398193309,0.8411214953271028,0.9417989417989416,0.8846153846153846,0.12903225806451613
59,aemb,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.7634743382175446,0.8400746534953466,0.7730907108245545,0.4823809784581901,0.8558558558558559,0.84375,0.8421052631578948,0.15570175438596492
60,divider,DATE,random,0.5,1000000000000.0,,,0.96787334951646,0.8309343467339418,0.8861718254321359,0.18087457452594324,1.0,0.8620689655172413,0.900763358778626,0.17647058823529413
61,divider,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.9633363754994292,0.9822682039337278,0.9698695459963113,0.060794562994083874,1.0,1.0,0.9883720930232558,0.018518518518518517
62,divider,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.9507943683566884,0.9844042925534692,0.9634806441123814,0.07842158062965553,1.0,1.0,0.9866666666666666,0.023809523809523808
63,divider,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.870801910744921,0.9099586738722778,0.8767383229224335,0.21894235631827014,0.9594594594594594,0.9340659340659341,0.923076923076923,0.08888888888888889
64,ethernet,DATE,random,0.5,1000000000000.0,,,0.8639382949571807,0.8432379126602146,0.8301656912368842,0.295006748989759,0.9166337025316456,0.9333333333333332,0.8192903225806452,0.2742690058479532
65,ethernet,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.9546720916206322,0.9838551093225316,0.9659267569964012,0.06384986562446593,1.0,1.0,1.0,0.0
66,ethernet,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.9562290905720464,0.9821411647193676,0.96528407121974,0.07147305811901034,1.0,1.0,0.9953702711392134,0.009051441677588468
67,ethernet,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.9029161178159598,0.8720091174436799,0.8737949169091781,0.20796293654790168,0.9862062404870624,0.8723577235772357,0.8979539895083637,0.11487758945386065
68,fdct,DATE,random,0.5,1000000000000.0,,,0.9273891428477076,0.8908577544880808,0.9022678549204984,0.12988364590809234,0.9492753623188406,0.9206349206349206,0.9032258064516128,0.12941176470588234
69,fdct,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.9121419950712186,0.9230533939270464,0.9046642576209568,0.21328696322899704,0.9924242424242424,0.9629629629629628,0.912280701754386,0.16339869281045752
70,fdct,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.9242805708347704,0.9177983304709526,0.9089224493894408,0.2041459625864821,1.0,0.9583333333333334,0.9333333333333332,0.0915032679738562
71,fdct,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.8955923132505078,0.8765711601426512,0.8735860564058554,0.20730615227157287,0.9523809523809524,0.8965517241379308,0.878048780487805,0.1206896551724138
72,fpu,DATE,random,0.5,1000000000000.0,,,0.7763042050859708,0.7777153816242475,0.7612195785915107,0.2643187889236561,0.8076923076923077,0.7959183673469388,0.810126582278481,0.2318840579710145
73,fpu,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.8133694400623257,0.8422492393714739,0.8103185412716546,0.2650331652985756,0.8166666666666667,0.8666666666666667,0.8260869565217391,0.2
74,fpu,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.7991208575644893,0.8553131643935551,0.8094670503586952,0.2622538298475097,0.82,0.8867924528301887,0.84,0.2083333333333333
75,fpu,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.9091210322497276,0.7607980892235581,0.8189501501676891,0.18577559089674106,1.0,0.75,0.8305084745762712,0.2
76,rsdecoder,DATE,random,0.5,1000000000000.0,,,0.8546279825419949,0.8927663942682642,0.8535382678118985,0.2905227300579412,0.8959999999999999,0.95,0.9032258064516128,0.16170212765957448
77,rsdecoder,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.9264336651332248,0.9667330863877414,0.9370106497738572,0.1752005069621176,0.9793103448275862,0.9842105263157894,0.9734513274336284,0.01984126984126984
78,rsdecoder,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.9191479133439164,0.9670181931837176,0.9265585291744288,0.4879492956376207,0.9813780260707636,0.987012987012987,0.9771689497716894,0.027027027027027032
79,rsdecoder,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.881311854414413,0.8716799415513254,0.8607951126909479,0.2629461778191953,0.9625668449197858,0.8926829268292683,0.9063136456211812,0.12355212355212356
80,spi,DATE,random,0.5,1000000000000.0,,,0.9410562534270752,0.7132755754109509,0.7917722023613349,0.2846647812679535,1.0,0.6383708570876413,0.7514705882352941,0.3773734177215189
81,spi,suspect2vec,random,0.5,1000000000000.0,20.0,0.0,0.9509158891235108,0.968896946560872,0.9570094624002186,0.06397039037189446,0.9965986394557824,0.9860078277886496,0.9796236075555248,0.020207956600361662
82,spi,suspect2vec,random,0.5,1000000000000.0,30.0,0.0,0.964694457243006,0.9757509011867244,0.9686439630221428,0.04463514461692845,0.9933495360141404,0.99009900990099,0.982758415676762,0.0138996138996139
83,spi,suspect2vec,random,0.5,1000000000000.0,20.0,0.1,0.8691715387735284,0.8955994689735681,0.8729805174972199,0.17581285626259058,0.9285714285714286,0.9195797130733482,0.9006568144499179,0.10347843984768962
84,aemb,DATE,solver,0.5,1000000000000.0,,,0.8102098384268568,0.6867566907304105,0.7268164353545273,0.33725940566555,0.8727272727272727,0.6625,0.7666666666666667,0.2641509433962264
85,aemb,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.7684595240310566,0.7841794243035987,0.7493416129292022,0.5931866970895411,0.8557692307692307,0.7724137931034483,0.8090909090909091,0.16216216216216214
86,aemb,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.7694356098529653,0.7791735073124542,0.7471348033405747,0.5951253228826723,0.8611111111111112,0.7655172413793103,0.8127853881278538,0.15315315315315314
87,aemb,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.7755593346540949,0.6996453715805797,0.716308868440013,0.4428431722140951,0.8780487804878049,0.72,0.7674418604651163,0.2120253164556962
88,divider,DATE,solver,0.5,1000000000000.0,,,0.9649393463042972,0.6876117953107443,0.7939039933490349,0.302984349227318,1.0,0.6818181818181818,0.7678571428571428,0.3181818181818182
89,divider,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.9438346454122182,0.9170275250099512,0.9230250928717298,0.12719687677296884,0.987012987012987,0.9523809523809524,0.9440993788819876,0.07407407407407407
90,divider,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.9400403817079128,0.91761813529024,0.9207533522390684,0.13976679063723335,0.986842105263158,0.9638554216867472,0.9398907103825136,0.08771929824561403
91,divider,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.8442876713831512,0.8734813191157862,0.8411352488637241,0.25745336286543097,0.9487179487179488,0.9506172839506172,0.8941176470588235,0.10989010989010987
92,ethernet,DATE,solver,0.5,1000000000000.0,,,0.862540062620275,0.8367749898003352,0.8306504202460965,0.2582522961842439,0.9113924050632912,0.8666666666666667,0.8245073891625616,0.2368956743002545
93,ethernet,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.935488892418144,0.9292825475760934,0.9256835732984352,0.12241083417118905,0.9782608695652174,0.9864864864864864,0.9617446393762183,0.05202702702702703
94,ethernet,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.9412680632037868,0.931010946230261,0.9299816201336326,0.11225883364739757,0.9800395256916996,0.9864864864864864,0.9733333333333332,0.0459830866807611
95,ethernet,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.9253711400234056,0.7776137273971546,0.8323730572981184,0.22050728002067133,0.9861111111111112,0.7817460317460317,0.8463846655627478,0.2119860686374448
96,fdct,DATE,solver,0.5,1000000000000.0,,,0.9109141691065477,0.8600064434466529,0.8779983298649023,0.14368302581511108,0.9130434782608696,0.875,0.8837209302325582,0.13636363636363635
97,fdct,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.9205823123633704,0.8768841258300389,0.8851517857984548,0.2158963458052368,0.9736842105263158,0.8984375,0.902439024390244,0.1676300578034682
98,fdct,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.9277321244376168,0.8724639868980525,0.8875197094770221,0.20055204596895315,0.992,0.8823529411764706,0.8949771689497716,0.1676300578034682
99,fdct,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.9155039689724848,0.8155147465108925,0.8520876908443241,0.20109136905718605,0.96,0.7931034482758621,0.8486842105263158,0.1724137931034483
100,fpu,DATE,solver,0.5,1000000000000.0,,,0.7518754326619088,0.7341514622162902,0.7260834696200473,0.2701007858394954,0.7931034482758621,0.6818181818181818,0.7307692307692307,0.24489795918367346
101,fpu,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.7862146024032087,0.7746321196123456,0.7526313562494451,0.3724142231511639,0.8333333333333334,0.8,0.7731092436974789,0.2272727272727273
102,fpu,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.791228830628283,0.7923088872891134,0.7657773585383642,0.3430651771354512,0.8596491228070176,0.8636363636363636,0.7843137254901961,0.19298245614035087
103,fpu,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.9235414250414588,0.6659402430221569,0.7608001828458341,0.29353788418083804,1.0,0.6296296296296297,0.7441860465116279,0.3478260869565217
